experiment_id,distance,eta,seed,gate_family,alpha_g,r_g,chi_temp,contribution,eta_eff,interval_low,interval_high
exp_gate_class_convexity_ablation,3,1,11,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,29,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,47,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,71,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,89,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,11,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,29,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,47,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,71,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,89,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,11,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,29,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,47,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,71,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,89,cnot,0.2549545522276858,0.8050847457627118,0.79,0.21764499999999998,0.7347,0.5529999999999999,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,11,measurement,0.22744128553770085,0.6875,0.79,0.159896,0.7347,0.5431250000000001,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,29,measurement,0.22744128553770085,0.6875,0.79,0.159896,0.7347,0.5431250000000001,0.8295000000000001
exp_gate_class_convexity_ablation,3,1,47,measurement,0.22744128553770085,0.6875,0.79,0.159896,0.7347,0.5431250000000001,0.8295000000000001
